filename,Class,pmi
class01_identity0376_sample10.bmp,1,41.0
class01_identity0026_sample05.bmp,1,40.0
class01_identity0875_sample01.bmp,1,33.0
class01_identity0926_sample08.bmp,1,26.0
class01_identity0560_sample06.bmp,1,27.0
class01_identity0699_sample05.bmp,1,45.0
class01_identity0042_sample01.bmp,1,38.0
class01_identity0721_sample02.bmp,1,33.0
class01_identity0664_sample04.bmp,1,26.0
class01_identity0789_sample09.bmp,1,25.0
class01_identity0382_sample03.bmp,1,35.0
class01_identity0578_sample08.bmp,1,29.0
class01_identity0725_sample01.bmp,1,45.0
class01_identity0058_sample04.bmp,1,33.0
class01_identity0492_sample05.bmp,1,30.0
class01_identity0422_sample03.bmp,1,48.0
class01_identity0572_sample03.bmp,1,39.0
class01_identity0866_sample06.bmp,1,42.0
class01_identity0973_sample02.bmp,1,47.0
class01_identity0051_sample01.bmp,1,38.0
class01_identity0396_sample08.bmp,1,42.0
class01_identity0805_sample01.bmp,1,25.0
class01_identity0048_sample09.bmp,1,28.0
class01_identity0503_sample09.bmp,1,27.0
class01_identity0720_sample03.bmp,1,47.0
class01_identity0203_sample09.bmp,1,29.0
class01_identity0721_sample01.bmp,1,42.0
class01_identity0043_sample08.bmp,1,26.0
class01_identity0768_sample04.bmp,1,36.0
class01_identity0854_sample05.bmp,1,43.0
class01_identity0970_sample07.bmp,1,42.0
class01_identity0780_sample02.bmp,1,29.0
class01_identity0034_sample02.bmp,1,38.0
class01_identity0687_sample07.bmp,1,29.0
class01_identity0097_sample10.bmp,1,26.0
class01_identity0533_sample01.bmp,1,34.0
class01_identity0901_sample06.bmp,1,36.0
class01_identity0750_sample07.bmp,1,26.0
class01_identity0642_sample09.bmp,1,36.0
class01_identity0713_sample01.bmp,1,31.0
class01_identity0308_sample06.bmp,1,46.0
class01_identity0626_sample08.bmp,1,32.0
class01_identity0622_sample05.bmp,1,46.0
class01_identity0450_sample04.bmp,1,28.0
class01_identity0688_sample04.bmp,1,36.0
class01_identity0926_sample04.bmp,1,42.0
class01_identity0932_sample01.bmp,1,38.0
class01_identity0822_sample05.bmp,1,44.0
class01_identity0839_sample01.bmp,1,48.0
class01_identity0218_sample06.bmp,1,29.0
class01_identity0635_sample04.bmp,1,32.0
class01_identity0197_sample08.bmp,1,30.0
class01_identity0177_sample09.bmp,1,30.0
class01_identity0182_sample09.bmp,1,38.0
class01_identity0864_sample06.bmp,1,25.0
class01_identity0981_sample04.bmp,1,30.0
class01_identity0301_sample01.bmp,1,48.0
class01_identity0466_sample10.bmp,1,35.0
class01_identity0136_sample02.bmp,1,38.0
class01_identity0630_sample08.bmp,1,46.0
class01_identity0482_sample03.bmp,1,48.0
class01_identity0398_sample09.bmp,1,32.0
class01_identity0081_sample08.bmp,1,33.0
class01_identity0744_sample03.bmp,1,30.0
class01_identity0550_sample10.bmp,1,47.0
class01_identity0583_sample09.bmp,1,28.0
class01_identity0412_sample07.bmp,1,37.0
class01_identity0272_sample10.bmp,1,26.0
class01_identity0970_sample10.bmp,1,40.0
class01_identity0317_sample09.bmp,1,32.0
class01_identity0516_sample08.bmp,1,31.0
class01_identity0411_sample06.bmp,1,39.0
class01_identity0792_sample08.bmp,1,36.0
class01_identity0156_sample02.bmp,1,34.0
class01_identity0582_sample05.bmp,1,32.0
class01_identity0927_sample06.bmp,1,32.0
class01_identity0141_sample08.bmp,1,25.0
class01_identity0634_sample08.bmp,1,46.0
class01_identity0617_sample06.bmp,1,31.0
class01_identity0903_sample09.bmp,1,37.0
class01_identity0995_sample01.bmp,1,35.0
class01_identity0111_sample05.bmp,1,33.0
class01_identity0037_sample03.bmp,1,27.0
class01_identity0160_sample07.bmp,1,33.0
class01_identity0419_sample07.bmp,1,36.0
class01_identity0208_sample09.bmp,1,45.0
class01_identity0500_sample09.bmp,1,41.0
class01_identity0983_sample04.bmp,1,37.0
class01_identity0138_sample07.bmp,1,46.0
class01_identity0926_sample05.bmp,1,42.0
class01_identity0267_sample02.bmp,1,35.0
class01_identity0638_sample04.bmp,1,25.0
class01_identity0144_sample03.bmp,1,28.0
class01_identity0615_sample10.bmp,1,33.0
class01_identity0038_sample10.bmp,1,30.0
class01_identity0167_sample09.bmp,1,43.0
class01_identity0391_sample04.bmp,1,33.0
class01_identity0083_sample01.bmp,1,26.0
class01_identity0867_sample03.bmp,1,28.0
class01_identity0918_sample07.bmp,1,44.0
class01_identity0944_sample09.bmp,1,38.0
class01_identity0605_sample10.bmp,1,36.0
class01_identity0346_sample07.bmp,1,48.0
class01_identity0580_sample08.bmp,1,35.0
class01_identity0113_sample04.bmp,1,38.0
class01_identity0066_sample01.bmp,1,44.0
class01_identity0571_sample07.bmp,1,41.0
class01_identity0511_sample02.bmp,1,28.0
class01_identity0221_sample03.bmp,1,37.0
class01_identity0263_sample01.bmp,1,43.0
class01_identity0906_sample01.bmp,1,31.0
class01_identity0246_sample07.bmp,1,33.0
class01_identity0751_sample04.bmp,1,26.0
class01_identity0597_sample10.bmp,1,47.0
class01_identity0334_sample05.bmp,1,38.0
class01_identity0754_sample04.bmp,1,25.0
class01_identity0614_sample05.bmp,1,41.0
class01_identity0726_sample05.bmp,1,42.0
class01_identity0001_sample08.bmp,1,46.0
class01_identity0852_sample07.bmp,1,48.0
class01_identity0038_sample06.bmp,1,48.0
class01_identity0566_sample07.bmp,1,48.0
class01_identity0983_sample08.bmp,1,46.0
class01_identity0480_sample05.bmp,1,31.0
class01_identity0033_sample03.bmp,1,36.0
class01_identity0082_sample04.bmp,1,38.0
class01_identity0339_sample09.bmp,1,27.0
class01_identity0092_sample06.bmp,1,46.0
class01_identity0866_sample02.bmp,1,35.0
class01_identity0591_sample02.bmp,1,44.0
class01_identity0628_sample04.bmp,1,35.0
class01_identity0109_sample04.bmp,1,46.0
class01_identity0564_sample02.bmp,1,28.0
class01_identity0959_sample09.bmp,1,48.0
class01_identity0408_sample10.bmp,1,34.0
class01_identity0317_sample04.bmp,1,41.0
class01_identity0162_sample07.bmp,1,34.0
class01_identity0686_sample04.bmp,1,46.0
class01_identity0631_sample05.bmp,1,38.0
class01_identity0055_sample06.bmp,1,35.0
class01_identity0553_sample01.bmp,1,37.0
class01_identity0472_sample02.bmp,1,47.0
class01_identity0318_sample10.bmp,1,34.0
class01_identity1000_sample03.bmp,1,42.0
class01_identity0366_sample02.bmp,1,29.0
class01_identity0424_sample10.bmp,1,31.0
class01_identity0572_sample01.bmp,1,38.0
class01_identity0141_sample07.bmp,1,46.0
class01_identity0584_sample05.bmp,1,37.0
class01_identity0022_sample09.bmp,1,46.0
class01_identity0299_sample09.bmp,1,48.0
class01_identity0525_sample01.bmp,1,30.0
class01_identity0593_sample06.bmp,1,44.0
class01_identity0850_sample10.bmp,1,43.0
class01_identity0548_sample05.bmp,1,34.0
class01_identity0944_sample01.bmp,1,37.0
class01_identity0499_sample08.bmp,1,42.0
class01_identity0733_sample09.bmp,1,25.0
class01_identity0950_sample08.bmp,1,34.0
class01_identity0392_sample08.bmp,1,34.0
class01_identity0696_sample04.bmp,1,31.0
class01_identity0021_sample04.bmp,1,38.0
class01_identity0178_sample06.bmp,1,43.0
class01_identity0550_sample04.bmp,1,44.0
class01_identity0568_sample07.bmp,1,45.0
class01_identity0276_sample04.bmp,1,35.0
class01_identity0096_sample07.bmp,1,39.0
class01_identity0474_sample05.bmp,1,39.0
class01_identity0819_sample07.bmp,1,39.0
class01_identity0005_sample04.bmp,1,46.0
class01_identity0482_sample02.bmp,1,31.0
class01_identity0088_sample05.bmp,1,41.0
class01_identity0972_sample07.bmp,1,40.0
class01_identity0385_sample03.bmp,1,48.0
class01_identity0812_sample05.bmp,1,30.0
class01_identity0492_sample08.bmp,1,46.0
class01_identity0516_sample09.bmp,1,27.0
class01_identity0700_sample04.bmp,1,34.0
class01_identity0378_sample08.bmp,1,41.0
class01_identity0613_sample04.bmp,1,46.0
class01_identity0205_sample04.bmp,1,45.0
class01_identity0167_sample02.bmp,1,44.0
class01_identity0977_sample04.bmp,1,35.0
class01_identity0975_sample05.bmp,1,27.0
class01_identity0844_sample09.bmp,1,32.0
class01_identity0971_sample07.bmp,1,46.0
class01_identity0458_sample06.bmp,1,34.0
class01_identity0552_sample05.bmp,1,32.0
class01_identity0671_sample08.bmp,1,31.0
class01_identity0985_sample06.bmp,1,29.0
class01_identity0766_sample07.bmp,1,25.0
class01_identity0544_sample08.bmp,1,26.0
class01_identity0474_sample06.bmp,1,32.0
class01_identity0740_sample04.bmp,1,40.0
class01_identity0569_sample01.bmp,1,44.0
class01_identity0864_sample04.bmp,1,27.0
class01_identity0855_sample07.bmp,1,39.0
class01_identity0755_sample03.bmp,1,38.0
class01_identity0351_sample10.bmp,1,45.0
class01_identity0578_sample05.bmp,1,43.0
class01_identity0362_sample04.bmp,1,31.0
class01_identity0079_sample08.bmp,1,47.0
class01_identity0956_sample06.bmp,1,47.0
class01_identity0686_sample08.bmp,1,37.0
class01_identity0609_sample02.bmp,1,40.0
class01_identity0236_sample04.bmp,1,37.0
class01_identity0017_sample05.bmp,1,32.0
class01_identity0689_sample01.bmp,1,29.0
class01_identity0357_sample03.bmp,1,45.0
